,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
256,8302,8302,5211,467.345399208105,2.3553808391135402,341.080597187989,28.942288021594702,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.297056716656776,28.069920289369602,107.132966400579,0.348756803858803,1,run_3,run_3//output//rmfs//7.rmf3,330.78943521510104,A,2,h1_run_3_8302.rmf3
260,9995,9995,5108,467.384510793222,3.34983456919245,329.10438567282904,32.4328330316119,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,30.308740963298803,108.69286124858,0.34352005490005605,1,run_22,run_22//output//rmfs//4.rmf3,323.298222440037,A,2,h1_run_22_9995.rmf3
263,8284,8284,5193,467.423480648571,2.3913065444019397,345.188436326493,27.903590770903,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.177778256399197,107.477146031942,0.347587590839755,1,run_3,run_3//output//rmfs//7.rmf3,333.89450280820097,A,2,h1_run_3_8284.rmf3
266,8474,8474,1125,467.46307727941706,3.23640721174276,334.112673113707,26.8591522451562,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,31.9855506509887,108.683279134576,0.34339161805430896,1,run_31,run_31//output//rmfs//7.rmf3,322.61940173701,A,2,h1_run_31_8474.rmf3
268,8296,8296,5205,467.519165144768,2.3870920036424303,340.220062079457,25.7546739014609,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,29.8364542000622,107.211601820016,0.348490040213511,1,run_3,run_3//output//rmfs//7.rmf3,326.772997150964,A,2,h1_run_3_8296.rmf3
276,8309,8309,5218,467.596047815047,2.45058052366122,350.632269808114,26.1541703040796,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.4241506238541002,17.1287876954237,108.453936383908,0.34420843152003006,1,run_3,run_3//output//rmfs//7.rmf3,337.648189802258,A,2,h1_run_3_8309.rmf3
280,8334,8334,5243,467.638824660419,2.4133154990312002,343.81023402733103,26.1373434358784,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.937482929364702,107.220467561531,0.34845183241794,1,run_3,run_3//output//rmfs//7.rmf3,330.772062128644,A,2,h1_run_3_8334.rmf3
288,8389,8389,5298,467.743438260203,2.38664020743618,348.515775739037,27.0378562411797,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.016003717883238996,20.409861725299802,107.885879121817,0.346138053455835,1,run_3,run_3//output//rmfs//7.rmf3,336.351441354057,A,2,h1_run_3_8389.rmf3
290,9015,9015,1440,467.75750696007697,3.43908760609864,332.481391235443,30.170142215297197,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.12168527728363199,33.2944180728831,107.66185222386801,0.34698549014790997,1,run_31,run_31//output//rmfs//7.rmf3,324.501790223242,A,2,h1_run_31_9015.rmf3
294,8308,8308,5217,467.82831224617996,2.42428123121597,338.864976087429,26.6050044984988,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,28.064438435707302,108.806969788669,0.342994087155487,1,run_3,run_3//output//rmfs//7.rmf3,326.30543098354696,A,2,h1_run_3_8308.rmf3
